searchterms,exclusionterms,cols
flucloxacillin,gel,description
clarithromycin,lotion,
erythromycin,injection,
amoxicillin,powder,
Co-amoxiclav,solution,
Augmentin-Duo,ointment,
Augmentin,eye drops,
Ranclav,infusion,
Amiclav,anamix,
Amix,,
Amoram,,
Galenamox,,
Amoxil,,
Respillin,,
Amoxident,,
Floxapen,,
Rommix,,
Erymax,,
Tiloryth,,
Kerymax,,
Almodan,,
Fluclomix,,
Ladropen,,
Ampicillin,,
Penbritin,,
Klaricid,,
Azithromycin,,
Zithromax,,
Clamelle,,
Erythrocin,,
Erythrolar,,
Clarie,,
Mycifor,,
Febzin,,
Xetinin,,
Erythroped,,
Co-fluampicil,,
Magnapen,,
Telithromycin,,
Ketek,,
Temocillin,,
Negaban,,
Clarosip,,
