searchterms,exclusionterms,cols
zolpidem,rectal,description
stilnoct,rectubes,
zopiclone,injection,
zimovane,supposit,
chloral hydrate,,
cloral betaine,,
loprazolam,,
lormetazepam,,
flurazepam,,
dalmane,,
nitrazepam,,
mogadon,,
temazepam,,
diazepam,,
diazemuls,,
stesolid,,
lorazepam,,
ativan,,
oxazepam,,
promethazine hydrochloride,,
phenergan,,
sominex,,
melatonin,,
syncrodin,,
slenyto,,
circadin,,
hydroxyzine,,
ramelteon,,
tasimelteon,,
Zileze,,
Zopiclone,,
Nitrazepam,,
Zaleplon,,
Sonata,,
Clomethiazole,,
Heminevrin,,
Lormetazepam,,
Temazepam,,
Loprazolam,,
Chloral,,
Welldorm,,
Cloral,,
Somnite,,
Zolpidem,,
Triclofos,,
Rohypnol,,
Melatonin,,
Syncrodin,,
S.Gard 20mg,,
Xyrem,,
