searchterms,exclusionterms,cols
beclometasone,scalp lotion,description
beclomethason,tablet,
betametason,eye,
betamethason,nose,
mometason,ear,
momethason,oromucosal,
hydrocortisone butyrate,nasal,
triamcinolon,inhalation,
fluocinolone,inhaler,
diflucortolone,capsule,
Beclometasone dipropionate 0.025%,powder,
Betamethasone valerate 0.1%,oral,
Betacap,infusion,
Betesil,injection,
Bettamousse,plaster,
Betnovate,suppositor,
Cutivate,granule,
Diprosone,implant,
Elocon,pastill,
Locoid,betamethasone valerate 0.025%,
Locoid Crelo,fluocinolone acetonide 0.00625%,
Metosyn,fluocinolone acetonide 0.0025%,
Nerisone,diflucortolone 0.3%,
Synalar,Synalar 1 in 10,
Aureocort,Synalar 1 in 4,
Betamethasone and clioquinol,Calcipotriol,
Betamethasone and neomycin,Nerisone Forte,
Fucibet,,
Lotriderm,,
Synalar C,,
Synalar N,,
Diprosalic,,
