SNOMEDCode,description
'323542003,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
'1298411000001100,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
'1030511000001103,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
'169511000001107,Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)
'1468211000001100,Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)
'1468411000001101,Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)
'5281211000001106,Augmentin-Duo 400/57 oral suspension (Dowelhurst Ltd)
'5281311000001103,Augmentin-Duo 400/57 oral suspension (Dowelhurst Ltd)
'10844111000001108,Augmentin-Duo 400/57 oral suspension (Waymade Healthcare Plc)
'10844211000001102,Augmentin-Duo 400/57 oral suspension (Waymade Healthcare Plc)
'11252711000001103,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'11252811000001106,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'11252911000001101,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'13832611000001106,Augmentin-Duo 400/57 oral suspension (DE Pharmaceuticals)
'13832711000001102,Augmentin-Duo 400/57 oral suspension (DE Pharmaceuticals)
'14199011000001106,Augmentin-Duo 400/57 oral suspension (Sigma Pharmaceuticals Plc)
'14199111000001107,Augmentin-Duo 400/57 oral suspension (Sigma Pharmaceuticals Plc)
'15077811000001102,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc)
'15078011000001109,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc)
'15078311000001107,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc)
'16139611000001101,Augmentin-Duo 400/57 oral suspension (Lexon (UK) Ltd)
'16139711000001105,Augmentin-Duo 400/57 oral suspension (Lexon (UK) Ltd)
'16269711000001100,Augmentin-Duo 400/57 oral suspension (Mawdsley-Brooks & Company Ltd)
'16269811000001108,Augmentin-Duo 400/57 oral suspension (Mawdsley-Brooks & Company Ltd)
'19728111000001103,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Medreich Plc)
'19728211000001109,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Medreich Plc)
'19876911000001100,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'19877011000001101,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'22036711000001105,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sandoz Ltd)
'22036911000001107,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sandoz Ltd)
'22037011000001106,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Sandoz Ltd)
'23651411000001107,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'23651511000001106,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'30043911000001108,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (DE Pharmaceuticals)
'30044011000001106,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (DE Pharmaceuticals)
'30044111000001107,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (DE Pharmaceuticals)
'32399111000001106,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'32399211000001100,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'32403711000001100,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Brown & Burk UK Ltd)
'32403811000001108,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free (Brown & Burk UK Ltd)
'323564007,Co-amoxiclav 250mg/125mg dispersible tablets sugar free
'1069211000001101,Co-amoxiclav 250mg/125mg dispersible tablets sugar free
'386811000001108,Augmentin 375mg dispersible tablets (GlaxoSmithKline UK Ltd)
'1468911000001109,Augmentin 375mg dispersible tablets (GlaxoSmithKline UK Ltd)
'323569002,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
'960711000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
'36493011000001100,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
'732211000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'1471011000001106,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)
'931011000001106,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Teva UK Ltd)
'1471511000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Teva UK Ltd)
'451111000001109,Ranclav 250mg/62mg/5ml SF oral suspension (Ranbaxy (UK) Ltd)
'1472111000001102,Ranclav 250mg/62mg/5ml SF oral suspension (Ranbaxy (UK) Ltd)
'353811000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)
'1472611000001105,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd)
'526211000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'1473211000001102,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd)
'22211000001104,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd)
'1473611000001100,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Ranbaxy (UK) Ltd)
'866111000001100,Augmentin 250/62 SF oral suspension (GlaxoSmithKline UK Ltd)
'1473811000001101,Augmentin 250/62 SF oral suspension (GlaxoSmithKline UK Ltd)
'394111000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'1474111000001105,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)
'3964011000001108,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Zentiva)
'3964211000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Zentiva)
'4817311000001108,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Mylan)
'4817411000001101,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Mylan)
'6034811000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Sandoz Ltd)
'6035211000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Sandoz Ltd)
'9787911000001109,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd)
'9788011000001106,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd)
'15516011000001101,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Actavis UK Ltd)
'15516111000001100,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Actavis UK Ltd)
'17885611000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'17885711000001107,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)
'19692311000001101,Augmentin 250/62 SF oral suspension (Sigma Pharmaceuticals Plc)
'19692411000001108,Augmentin 250/62 SF oral suspension (Sigma Pharmaceuticals Plc)
'22007711000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Waymade Healthcare Plc)
'22007811000001106,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Waymade Healthcare Plc)
'22602511000001102,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd)
'22602611000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Colorama Pharmaceuticals Ltd)
'30016111000001109,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd)
'30016211000001103,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd)
'36492911000001108,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Medreich Plc)
'36493111000001104,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free (Medreich Plc)
'323563001,Co-amoxiclav 250mg/125mg tablets
'1077611000001103,Co-amoxiclav 250mg/125mg tablets
'1105611000001109,Co-amoxiclav 250mg/125mg tablets
'38111000001106,Co-amoxiclav 250mg/125mg tablets (A A H Pharmaceuticals Ltd)
'1471311000001109,Co-amoxiclav 250mg/125mg tablets (A A H Pharmaceuticals Ltd)
'1472511000001106,Co-amoxiclav 250mg/125mg tablets (A A H Pharmaceuticals Ltd)
'382811000001107,Co-amoxiclav 250mg/125mg tablets (Actavis UK Ltd)
'1471611000001104,Co-amoxiclav 250mg/125mg tablets (Actavis UK Ltd)
'771411000001107,Co-amoxiclav 250mg/125mg tablets (Teva UK Ltd)
'1471711000001108,Co-amoxiclav 250mg/125mg tablets (Teva UK Ltd)
'9307711000001105,Co-amoxiclav 250mg/125mg tablets (Teva UK Ltd)
'29011000001102,Amiclav 250mg/125mg tablets (Ashbourne Pharmaceuticals Ltd)
'1471811000001100,Amiclav 250mg/125mg tablets (Ashbourne Pharmaceuticals Ltd)
'139811000001101,Ranclav 375mg tablets (Ranbaxy (UK) Ltd)
'1471911000001105,Ranclav 375mg tablets (Ranbaxy (UK) Ltd)
'441311000001108,Co-amoxiclav 250mg/125mg tablets (Mylan)
'1472011000001103,Co-amoxiclav 250mg/125mg tablets (Mylan)
'1472811000001109,Co-amoxiclav 250mg/125mg tablets (Mylan)
'760411000001105,Co-amoxiclav 250mg/125mg tablets (IVAX Pharmaceuticals UK Ltd)
'1473111000001108,Co-amoxiclav 250mg/125mg tablets (IVAX Pharmaceuticals UK Ltd)
'1473311000001105,Co-amoxiclav 250mg/125mg tablets (IVAX Pharmaceuticals UK Ltd)
'12511000001105,Co-amoxiclav 250mg/125mg tablets (Kent Pharmaceuticals Ltd)
'1473411000001103,Co-amoxiclav 250mg/125mg tablets (Kent Pharmaceuticals Ltd)
'1473511000001104,Co-amoxiclav 250mg/125mg tablets (Kent Pharmaceuticals Ltd)
'882211000001108,Co-amoxiclav 250mg/125mg tablets (Sandoz Ltd)
'1473711000001109,Co-amoxiclav 250mg/125mg tablets (Sandoz Ltd)
'91211000001101,Co-amoxiclav 250mg/125mg tablets (Ranbaxy (UK) Ltd)
'1473911000001106,Co-amoxiclav 250mg/125mg tablets (Ranbaxy (UK) Ltd)
'94411000001100,Augmentin 375mg tablets (GlaxoSmithKline UK Ltd)
'1474311000001107,Augmentin 375mg tablets (GlaxoSmithKline UK Ltd)
'1474411000001100,Augmentin 375mg tablets (GlaxoSmithKline UK Ltd)
'380711000001103,Co-amoxiclav 250mg/125mg tablets (Zentiva)
