SNOMEDCode,description,bnf_chapter
'325443009,Prednisolone 5mg gastro-resistant tablets,603020
'1308311000001101,Prednisolone 5mg gastro-resistant tablets,603020
'1104911000001102,Prednisolone 5mg gastro-resistant tablets,603020
'1185811000001109,Prednisolone 5mg gastro-resistant tablets,603020
'4208811000001108,Prednisolone 5mg gastro-resistant tablets,603020
'662011000001105,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),603020
'1427411000001106,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),603020
'15510211000001109,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),603020
'5057611000001100,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),603020
'4749711000001106,Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),603020
'512811000001108,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd),603020
'1427611000001109,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd),603020
'17067911000001100,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd),603020
'4683811000001100,Prednisolone 5mg gastro-resistant tablets (Actavis UK Ltd),603020
'447211000001105,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),603020
'11925411000001101,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),603020
'1427811000001108,Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),603020
'255211000001101,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),603020
'13654511000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),603020
'1428411000001105,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),603020
'18033111000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),603020
'4208911000001103,Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd),603020
'4209011000001107,Prednisolone 5mg gastro-resistant tablets (Approved Prescription Services Ltd),603020
'13245911000001103,Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd),
'13246011000001106,Prednisolone 5mg gastro-resistant tablets (Dowelhurst Ltd),
'15176111000001100,Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),603020
'15176311000001103,Prednisolone 5mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),603020
'17916811000001103,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),603020
'17917011000001107,Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),603020
'17999611000001109,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),603020
'17999811000001108,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),603020
'17999711000001100,Prednisolone 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd),603020
'18307211000001104,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),603020
'18307311000001107,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),603020
'20593711000001101,Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd),603020
'19743211000001104,Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),603020
'19743311000001107,Prednisolone 5mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),603020
'22453011000001108,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc),603020
'22453111000001109,Prednisolone 5mg gastro-resistant tablets (Waymade Healthcare Plc),603020
'30114311000001108,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals),603020
'30114411000001101,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals),603020
'30114511000001102,Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals),603020
'34444511000001106,Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd),603020
'34444611000001105,Prednisolone 5mg gastro-resistant tablets (Bristol Laboratories Ltd),603020
'325426006,Prednisolone 1mg tablets,603020
'976211000001106,Prednisolone 1mg tablets,603020
'1312311000001101,Prednisolone 1mg tablets,603020
'1065811000001103,Prednisolone 1mg tablets,603020
'14786511000001104,Prednisolone 1mg tablets,603020
