SNOMEDCode,description,bnf_chapter
'320139002,Salbutamol 100micrograms/dose inhaler CFC free,
'1056811000001104,Salbutamol 100micrograms/dose inhaler CFC free,301011
'597011000001101,Airomir 100micrograms/dose inhaler (Teva UK Ltd),301011
'1478511000001108,Airomir 100micrograms/dose inhaler (Teva UK Ltd),301011
'840111000001107,Salbulin 100micrograms/dose inhaler (3M Health Care Ltd),301011
'1478611000001107,Salbulin 100micrograms/dose inhaler (3M Health Care Ltd),301011
'7511000001105,Salbutamol 100micrograms/dose inhaler CFC free (Actavis UK Ltd),301011
'1479011000001105,Salbutamol 100micrograms/dose inhaler CFC free (Actavis UK Ltd),301011
'757611000001104,Salbutamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),301011
'1479311000001108,Salbutamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),301011
'222311000001102,Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),301011
'1479411000001101,Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),301011
'106511000001103,Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),301011
'1481411000001105,Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd),301011
'45111000001100,Salbutamol 100micrograms/dose inhaler CFC free (Mylan),301011
'1756011000001108,Salbutamol 100micrograms/dose inhaler CFC free (Mylan),301011
'5277911000001102,Ventolin 100micrograms/dose Evohaler (Waymade Healthcare Plc),
'5278211000001105,Ventolin 100micrograms/dose Evohaler (Waymade Healthcare Plc),
'5594511000001100,Ventolin 100micrograms/dose Evohaler (Dowelhurst Ltd),
'5594611000001101,Ventolin 100micrograms/dose Evohaler (Dowelhurst Ltd),
'13968911000001104,Ventolin 100micrograms/dose Evohaler (DE Pharmaceuticals),
'13969011000001108,Ventolin 100micrograms/dose Evohaler (DE Pharmaceuticals),
'17471111000001109,Ventolin 100micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'17471211000001103,Ventolin 100micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'18041311000001106,Salbutamol 100micrograms/dose inhaler CFC free (Sandoz Ltd),301011
'18041411000001104,Salbutamol 100micrograms/dose inhaler CFC free (Sandoz Ltd),301011
'18148111000001107,Asmavent 100micrograms/dose inhaler CFC free (Kent Pharmaceuticals Ltd),301011
'18148211000001101,Asmavent 100micrograms/dose inhaler CFC free (Kent Pharmaceuticals Ltd),301011
'20434411000001107,Salamol 100micrograms/dose inhaler CFC free (Arrow Generics Ltd),301011
'20434611000001105,Salamol 100micrograms/dose inhaler CFC free (Arrow Generics Ltd),301011
'22503111000001109,AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd),301011
'22503211000001103,AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd),301011
'436811000001108,Nuelin 60mg/5ml liquid (3M Health Care Ltd),301030
'2324611000001108,Nuelin 60mg/5ml liquid (3M Health Care Ltd),301030
'386411000001106,Becotide Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'2667211000001103,Becotide Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'906811000001103,Ventolin Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'2667911000001107,Ventolin Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'852211000001102,Ventide Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'2668111000001105,Ventide Rotahaler (GlaxoSmithKline UK Ltd),21011000500
'4259111000001100,Intal Spinhaler (Sanofi),21011000300
'4259311000001103,Intal Spinhaler (Sanofi),21011000300
'36049211000001106,Ipratropium bromide 20micrograms/dose breath actuated inhaler,301020
'1264411000001106,Ipratropium bromide 20micrograms/dose breath actuated inhaler,301020
'351411000001106,Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd),301020
'2825611000001106,Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd),301020
'36049311000001103,Ipratropium bromide 20micrograms/dose inhaler,301020
'1151011000001107,Ipratropium bromide 20micrograms/dose inhaler,301020
'24011000001103,Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd),301020
'2826911000001107,Atrovent 20micrograms/dose inhaler (Boehringer Ingelheim Ltd),301020
'5255211000001100,Atrovent 20micrograms/dose inhaler (Waymade Healthcare Plc),
'5255311000001108,Atrovent 20micrograms/dose inhaler (Waymade Healthcare Plc),
'5281611000001108,Atrovent 20micrograms/dose inhaler (Dowelhurst Ltd),
'5281711000001104,Atrovent 20micrograms/dose inhaler (Dowelhurst Ltd),
'5297911000001106,Ipratropium 20micrograms/dose inhaler (Dowelhurst Ltd),
'5298011000001108,Ipratropium 20micrograms/dose inhaler (Dowelhurst Ltd),
'320244004,Salmeterol 25micrograms/dose inhaler,
'1048111000001108,Salmeterol 25micrograms/dose inhaler,301011
'4840011000001103,Salmeterol 25micrograms/dose inhaler,301011
'408911000001105,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),301011
'2826211000001103,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),301011
'4840111000001102,Serevent 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd),301011
'5275011000001108,Salmeterol 25micrograms/dose inhaler (Waymade Healthcare Plc),
'5275111000001109,Salmeterol 25micrograms/dose inhaler (Waymade Healthcare Plc),
'5275311000001106,Serevent 25micrograms/dose inhaler (Waymade Healthcare Plc),
'5275411000001104,Serevent 25micrograms/dose inhaler (Waymade Healthcare Plc),
'5315611000001101,Salmeterol 25micrograms/dose inhaler (Dowelhurst Ltd),
'5315811000001102,Salmeterol 25micrograms/dose inhaler (Dowelhurst Ltd),
'5320411000001102,Serevent 25micrograms/dose inhaler (Dowelhurst Ltd),
'5320511000001103,Serevent 25micrograms/dose inhaler (Dowelhurst Ltd),
'35926711000001101,Sodium cromoglicate 5mg/dose inhaler,303010
'1222111000001104,Sodium cromoglicate 5mg/dose inhaler,303010
'533311000001100,Intal 5mg/dose inhaler (Aventis Pharma),303010
'2826811000001102,Intal 5mg/dose inhaler (Aventis Pharma),303010
'725311000001102,Cromogen 5mg/dose inhaler (Teva UK Ltd),303010
'2827011000001106,Cromogen 5mg/dose inhaler (Teva UK Ltd),303010
'5269711000001103,Intal 5mg/dose inhaler (Waymade Healthcare Plc),
'5269911000001101,Intal 5mg/dose inhaler (Waymade Healthcare Plc),
'5297311000001105,Intal 5mg/dose inhaler (Dowelhurst Ltd),
'5297411000001103,Intal 5mg/dose inhaler (Dowelhurst Ltd),
'5464611000001107,Sodium cromoglicate 5mg/dose inhaler (Dowelhurst Ltd),
'5464811000001106,Sodium cromoglicate 5mg/dose inhaler (Dowelhurst Ltd),
'35926611000001105,Sodium cromoglicate 5mg/dose breath actuated inhaler,303010
'1293711000001100,Sodium cromoglicate 5mg/dose breath actuated inhaler,303010
'377511000001101,Cromogen 5mg/dose Easi-Breathe inhaler (Teva UK Ltd),303010
'2827311000001109,Cromogen 5mg/dose Easi-Breathe inhaler (Teva UK Ltd),303010
'36049411000001105,Ipratropium bromide 40micrograms/dose inhaler,301020
'1314811000001104,Ipratropium bromide 40micrograms/dose inhaler,301020
'347611000001103,Atrovent Forte 40micrograms/dose inhaler (Boehringer Ingelheim Ltd),301020
'2827511000001103,Atrovent Forte 40micrograms/dose inhaler (Boehringer Ingelheim Ltd),301020
'320618008,Fluticasone 50micrograms/dose inhaler CFC free,
'1226011000001101,Fluticasone 50micrograms/dose inhaler CFC free,302000
'726611000001102,Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
'2829311000001104,Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
'10855011000001109,Flixotide 50micrograms/dose Evohaler (Waymade Healthcare Plc),
'10855111000001105,Flixotide 50micrograms/dose Evohaler (Waymade Healthcare Plc),
'17505711000001109,Flixotide 50micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'17505811000001101,Flixotide 50micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'18058211000001105,Flixotide 50micrograms/dose Evohaler (Lexon (UK) Ltd),
'18058311000001102,Flixotide 50micrograms/dose Evohaler (Lexon (UK) Ltd),
'18579211000001101,Flixotide 50micrograms/dose Evohaler (DE Pharmaceuticals),
'18579311000001109,Flixotide 50micrograms/dose Evohaler (DE Pharmaceuticals),
'320274007,Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,
'1094711000001109,Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,302000
'453611000001102,Seretide 50 Evohaler (GlaxoSmithKline UK Ltd),302000
'2830011000001108,Seretide 50 Evohaler (GlaxoSmithKline UK Ltd),302000
'16728511000001101,Seretide 50 Evohaler (Waymade Healthcare Plc),
'16728611000001102,Seretide 50 Evohaler (Waymade Healthcare Plc),
'35594011000001105,Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd),302000
'35594111000001106,Combisal 25micrograms/dose / 50micrograms/dose inhaler (Aspire Pharma Ltd),302000
'320275008,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,
'1282011000001105,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,302000
'810211000001105,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd),302000
'2830811000001102,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd),302000
'10473211000001109,Seretide 125 Evohaler (Dowelhurst Ltd),
'10473311000001101,Seretide 125 Evohaler (Dowelhurst Ltd),
'10512011000001109,Seretide 125 Evohaler (Waymade Healthcare Plc),
'10512111000001105,Seretide 125 Evohaler (Waymade Healthcare Plc),
'13998111000001104,Seretide 125 Evohaler (DE Pharmaceuticals),
'13998211000001105,Seretide 125 Evohaler (DE Pharmaceuticals),
'14705411000001106,Seretide 125 Evohaler (Sigma Pharmaceuticals Plc),
'14705511000001105,Seretide 125 Evohaler (Sigma Pharmaceuticals Plc),
'16241311000001105,Seretide 125 Evohaler (Lexon (UK) Ltd),
'16241411000001103,Seretide 125 Evohaler (Lexon (UK) Ltd),
'17440711000001101,Seretide 125 Evohaler (Mawdsley-Brooks & Company Ltd),
'17440811000001109,Seretide 125 Evohaler (Mawdsley-Brooks & Company Ltd),
'18185611000001104,Seretide 125 Evohaler (Necessity Supplies Ltd),
'18185711000001108,Seretide 125 Evohaler (Necessity Supplies Ltd),
'29782111000001107,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Mylan),302000
'29782211000001101,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler (Mylan),302000
'34023611000001101,Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd),302000
'34023711000001105,Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd),302000
'34215311000001107,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd),302000
'34215411000001100,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd),302000
'34677011000001107,Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Mylan),302000
'34677111000001108,Aloflute 25micrograms/dose / 125micrograms/dose inhaler (Mylan),302000
'35594211000001100,Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd),302000
'35594311000001108,Combisal 25micrograms/dose / 125micrograms/dose inhaler (Aspire Pharma Ltd),302000
'320200002,Terbutaline 10mg/ml nebuliser liquid,301011
'1050811000001101,Terbutaline 10mg/ml nebuliser liquid,301011
'2831711000001102,Bricanyl 10mg/ml respirator solution (AstraZeneca UK Ltd),301011
'2831811000001105,Bricanyl 10mg/ml respirator solution (AstraZeneca UK Ltd),301011
'320614005,Fluticasone 125micrograms/dose inhaler CFC free,
'1041211000001106,Fluticasone 125micrograms/dose inhaler CFC free,302000
'983411000001106,Fluticasone 125micrograms/dose inhaler CFC free,302000
'398511000001105,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
'2830911000001107,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
'2831111000001103,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
'5267111000001105,Flixotide 125micrograms/dose Evohaler (Waymade Healthcare Plc),
'5267211000001104,Flixotide 125micrograms/dose Evohaler (Waymade Healthcare Plc),
'5293111000001100,Flixotide 125micrograms/dose Evohaler (Dowelhurst Ltd),
'5293211000001106,Flixotide 125micrograms/dose Evohaler (Dowelhurst Ltd),
'5350911000001109,Fluticasone 125micrograms/dose Evohaler (Dowelhurst Ltd),
'5351011000001101,Fluticasone 125micrograms/dose Evohaler (Dowelhurst Ltd),
'13877511000001107,Flixotide 125micrograms/dose Evohaler (DE Pharmaceuticals),
'13877611000001106,Flixotide 125micrograms/dose Evohaler (DE Pharmaceuticals),
'14234511000001108,Flixotide 125micrograms/dose Evohaler (Sigma Pharmaceuticals Plc),
'14234611000001107,Flixotide 125micrograms/dose Evohaler (Sigma Pharmaceuticals Plc),
'16180011000001105,Flixotide 125micrograms/dose Evohaler (Lexon (UK) Ltd),
'16180111000001106,Flixotide 125micrograms/dose Evohaler (Lexon (UK) Ltd),
'16545311000001104,Flixotide 125micrograms/dose Evohaler (Stephar (U.K.) Ltd),
'16545411000001106,Flixotide 125micrograms/dose Evohaler (Stephar (U.K.) Ltd),
'16579811000001105,Flixotide 125micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'16579911000001100,Flixotide 125micrograms/dose Evohaler (Mawdsley-Brooks & Company Ltd),
'18262211000001106,Flixotide 125micrograms/dose Evohaler (Necessity Supplies Ltd),
'18262311000001103,Flixotide 125micrograms/dose Evohaler (Necessity Supplies Ltd),
'320276009,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,
'1229311000001105,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,302000
'539811000001106,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd),302000
'2831011000001104,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd),302000
'5276811000001105,Seretide 250 Evohaler (Waymade Healthcare Plc),
'5276911000001100,Seretide 250 Evohaler (Waymade Healthcare Plc),
'10472811000001102,Seretide 250 Evohaler (Dowelhurst Ltd),
'10473011000001104,Seretide 250 Evohaler (Dowelhurst Ltd),
'13998411000001109,Seretide 250 Evohaler (DE Pharmaceuticals),
'13998511000001108,Seretide 250 Evohaler (DE Pharmaceuticals),
'14705811000001108,Seretide 250 Evohaler (Sigma Pharmaceuticals Plc),
'14705911000001103,Seretide 250 Evohaler (Sigma Pharmaceuticals Plc),
'16241511000001104,Seretide 250 Evohaler (Lexon (UK) Ltd),
'16241611000001100,Seretide 250 Evohaler (Lexon (UK) Ltd),
'16588111000001101,Seretide 250 Evohaler (Stephar (U.K.) Ltd),
'16588211000001107,Seretide 250 Evohaler (Stephar (U.K.) Ltd),
'17440911000001104,Seretide 250 Evohaler (Mawdsley-Brooks & Company Ltd),
'17441011000001107,Seretide 250 Evohaler (Mawdsley-Brooks & Company Ltd),
'18185811000001100,Seretide 250 Evohaler (Necessity Supplies Ltd),
'18185911000001105,Seretide 250 Evohaler (Necessity Supplies Ltd),
'29782511000001103,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Mylan),302000
'29782611000001104,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Mylan),302000
'30253911000001100,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Waymade Healthcare Plc),
'30254011000001102,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler (Waymade Healthcare Plc),
'34023811000001102,Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd),302000
'34023911000001107,Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd),302000
'34215511000001101,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd),302000
'34215611000001102,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd),302000
'34675711000001103,Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Mylan),302000
'34675911000001101,Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Mylan),302000
'35594411000001101,Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd),302000
'35594511000001102,Combisal 25micrograms/dose / 250micrograms/dose inhaler (Aspire Pharma Ltd),302000
'320615006,Fluticasone 250micrograms/dose inhaler CFC free,
'1245411000001104,Fluticasone 250micrograms/dose inhaler CFC free,302000
'971711000001105,Fluticasone 250micrograms/dose inhaler CFC free,302000
'2831211000001109,Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),302000
